"NDB_No"|"FdGrp_Cd"|"Long_Desc"|"Shrt_Desc"|"ComName"|"ManufacName"
"18947"|"1800"|"Pie crust, deep dish, frozen, baked, made with enriched flour"|"PIE CRUST,DEEP DISH,FRZ,BKD,MADE W/ ENR FLR"||
"18948"|"1800"|"Pie crust, refrigerated, regular, unbaked"|"PIE CRUST,REFR,REG,UNBAKED"||
"18949"|"1800"|"Crackers, whole-wheat, reduced fat"|"CRACKERS,WHOLE-WHEAT,RED FAT"||
"18950"|"1800"|"Crackers, wheat, reduced fat"|"CRACKERS,WHEAT,RED FAT"||
"18951"|"1800"|"Waffles, chocolate chip, frozen, ready-to-heat"|"WAFFLES,CHOC CHIP,FRZ,RTH"||
"18952"|"1800"|"Tostada shells, corn"|"TOSTADA SHELLS,CORN"|"Latino food"|
"18953"|"1800"|"Bread, salvadoran sweet cheese (quesadilla salvadorena)"|"BREAD,SALVADORAN SWT CHS (QUESADILLA SALVADORENA)"|"Latino food"|
"18954"|"1800"|"Bread, pound cake type, pan de torta salvadoran"|"BREAD,POUND CAKE TYPE,PAN DE TORTA SALVADORAN"|"Latino food"|
"18955"|"1800"|"Bread, pan dulce, sweet yeast bread"|"BREAD,PAN DULCE,SWT YEAST BREAD"|"Latino food"|
"18956"|"1800"|"Keikitos (muffins), Latino bakery item"|"KEIKITOS (MUFFINS),LATINO BAKERY ITEM"||
"18957"|"1800"|"Cake, pound, BIMBO Bakeries USA, Panque Casero, home baked style"|"CAKE,POUND,BIMBO BAKERIES USA,PANQUE CASERO,HOME BKD STYLE"|"Latino food"|
"18958"|"1800"|"Pan Dulce, LA RICURA, Salpora de Arroz con Azucar, cookie-like, contains wheat flour and rice flour"|"PAN DULCE,LA RICURA,SALPORA DE ARROZ,COOKIE-LIKE"|"Latino rice cookies"|
"18959"|"1800"|"Pastry, Pastelitos de Guava (guava pastries)"|"PASTRY,PASTELITOS DE GUAVA (GUAVA PASTRIES)"|"Latino food, pastelios de guava, turnovers"|
"20001"|"2000"|"Amaranth, uncooked"|"AMARANTH,UNCKD"||
