"NDB_No"|"Seq"|"Amount"|"Msre_Desc"|"Gm_Wgt"|"Num_Data_Pts"|"Std_Dev"
"09279"|"3"|1.00|"NLEA serving"|151.00||
"09281"|"1"|1.00|"cup, pitted"|249.00||
"09281"|"2"|1.00|"plum with liquid"|46.00||
"09282"|"1"|1.00|"cup, pitted"|252.00||
"09282"|"2"|1.00|"plum with liquid"|46.00||
"09283"|"1"|1.00|"cup, pitted"|252.00||
"09283"|"2"|1.00|"plum with liquid"|46.00||
"09284"|"1"|1.00|"cup, pitted"|258.00||
"09284"|"2"|1.00|"plum with liquid"|46.00||
"09285"|"1"|1.00|"cup, pitted"|261.00||
"09286"|"1"|1.00|"pomegranate (4"" dia)"|282.00||
"09286"|"2"|0.50|"cup arils (seed/juice sacs)"|87.00||
"09287"|"1"|1.00|"cup"|149.00||
"09287"|"2"|1.00|"fruit without refuse"|103.00||
"09288"|"1"|1.00|"cup"|234.00||
"09288"|"2"|5.00|"fruits with liquid"|86.00||
"09289"|"1"|1.00|"cup"|132.00||
"09290"|"1"|1.00|"cup"|280.00||
"09291"|"1"|1.00|"cup, pitted"|174.00|24|15.62
"09291"|"2"|1.00|"prune, pitted"|9.50|80|2.32
"09292"|"1"|1.00|"cup, pitted"|248.00||
"09293"|"1"|1.00|"cup, pitted"|248.00||
"09294"|"1"|1.00|"cup"|256.00||
"09294"|"2"|1.00|"fl oz"|32.00||
"09295"|"1"|1.00|"cup, sections"|190.00||
"09295"|"2"|1.00|"fruit without refuse"|609.00||
"09296"|"1"|1.00|"fruit without refuse"|92.00||
"09297"|"1"|1.00|"cup, packed"|165.00||
"09297"|"2"|1.00|"cup (not packed)"|145.00||
"09298"|"1"|1.00|"cup, packed"|165.00||
"09298"|"2"|1.00|"cup (not packed)"|145.00||
"09298"|"3"|1.00|"miniature box (.5 oz)"|14.00||
"09298"|"4"|1.00|"small box (1.5 oz)"|43.00||
"09298"|"5"|50.00|"raisins"|26.00||
"09298"|"6"|1.00|"oz (60 raisins)"|28.35|1|
"09299"|"1"|1.00|"cup, packed"|165.00||
"09299"|"2"|1.00|"cup (not packed)"|145.00||
"09301"|"1"|1.00|"cup, drained"|150.00||
"09301"|"2"|1.00|"cup"|214.00||
"09301"|"3"|1.00|"fruit"|9.00||
"09302"|"1"|1.00|"cup"|123.00||
"09302"|"2"|1.00|"pint as purchased, yields"|312.00||
"09302"|"3"|10.00|"raspberries"|19.00||
"09304"|"1"|1.00|"cup"|256.00||
"09306"|"1"|1.00|"cup, unthawed"|250.00||
"09306"|"2"|1.00|"package (10 oz)"|284.00||
"09307"|"1"|1.00|"cup, diced"|122.00||
"09307"|"2"|1.00|"stalk"|51.00||
"09309"|"1"|1.00|"cup, diced"|137.00||
"09310"|"1"|1.00|"cup"|240.00||
"09311"|"1"|1.00|"cup, without refuse"|57.00||
"09313"|"1"|1.00|"cup, pulp"|241.00||
"09313"|"2"|1.00|"sapodilla"|170.00||
"09314"|"1"|1.00|"fruit without refuse"|225.00||
"09315"|"1"|1.00|"cup, pulp"|225.00||
"09315"|"2"|1.00|"fruit (7"" x 5-1/4"" dia)"|625.00||
"09316"|"1"|1.00|"cup, halves"|152.00||
"09316"|"10"|1.00|"NLEA serving"|147.00||
"09316"|"2"|1.00|"cup, pureed"|232.00||
"09316"|"3"|1.00|"cup, sliced"|166.00||
"09316"|"4"|1.00|"cup, whole"|144.00||
"09316"|"5"|1.00|"extra large (1-5/8"" dia)"|27.00||
"09316"|"6"|1.00|"large (1-3/8"" dia)"|18.00||
"09316"|"7"|1.00|"medium (1-1/4"" dia)"|12.00||
"09316"|"8"|1.00|"pint as purchased, yields"|357.00||
"09316"|"9"|1.00|"small (1"" dia)"|7.00||
"09317"|"1"|1.00|"cup"|254.00||
"09318"|"1"|1.00|"cup, thawed"|221.00||
"09318"|"2"|1.00|"cup, unthawed"|149.00||
"09318"|"3"|1.00|"berry"|10.60||
"09318"|"4"|1.00|"package (20 oz)"|567.00||
"09319"|"1"|1.00|"cup, thawed"|255.00||
"09319"|"2"|1.00|"package (10 oz)"|284.00||
"09320"|"1"|1.00|"cup, thawed"|255.00||
"09320"|"2"|1.00|"package (10 oz)"|284.00||
"09321"|"1"|1.00|"cup, pulp"|250.00||
"09321"|"2"|1.00|"fruit (2-7/8"" dia)"|155.00||
"09322"|"1"|1.00|"cup, pulp"|120.00||
"09322"|"2"|1.00|"fruit (3"" x 1"")"|2.00||
"09325"|"1"|1.00|"cup"|257.00||
"09326"|"1"|1.00|"cup, balls"|154.00||
"09326"|"2"|1.00|"cup, diced"|152.00||
"09326"|"3"|1.00|"melon (15"" long x 7-1/2"" dia)"|4518.00||
"09326"|"4"|1.00|"wedge (approx 1/16 of melon)"|286.00||
"09326"|"5"|10.00|"watermelon balls"|122.00||
"09326"|"6"|1.00|"NLEA serving"|280.00||
"09328"|"1"|1.00|"cherry (NLEA serving)"|5.00||
"09334"|"1"|1.00|"cup, pureed"|243.00||
"09334"|"2"|1.00|"fruit without refuse"|50.00||
"09340"|"1"|1.00|"fruit 2-1/4"" high x 2-1/2"" dia"|122.00||
"09340"|"2"|1.00|"fruit 3-3/8"" high x 3"" diameter"|275.00||
"09351"|"1"|1.00|"cup"|214.00||
"09352"|"1"|1.00|"cup"|244.00|3|46.47
"09353"|"1"|1.00|"cup"|319.00|4|12.61
"09354"|"1"|1.00|"cup, chunks"|181.00||
"09354"|"2"|1.00|"cup, crushed"|195.00||
"09354"|"3"|1.00|"cup, sliced"|162.00||
"09354"|"5"|1.00|"spear"|26.00||
"09357"|"1"|1.00|"cup, halves"|219.00||
"09357"|"2"|1.00|"cup, whole"|182.00||
"09367"|"1"|1.00|"cup"|179.00||
"09370"|"1"|1.00|"cup"|222.00||
"09370"|"2"|1.00|"half"|73.00||
"09370"|"3"|1.00|"slice"|12.70||
"09374"|"1"|1.00|"cup"|201.00||
"09374"|"2"|1.00|"half"|48.00||
"09379"|"1"|1.00|"cup, with pits, yields"|183.00||
"09383"|"1"|1.00|"cup"|189.00||
"09400"|"1"|1.00|"cup"|248.00||
"09400"|"2"|1.00|"fl oz"|31.00||
"09401"|"1"|1.00|"cup"|244.00|81|
"09402"|"1"|1.00|"cup"|255.00||
"09403"|"1"|1.00|"cup"|251.00||
"09403"|"2"|1.00|"fl oz"|31.40||
"09404"|"1"|1.00|"cup"|247.00||
"09404"|"2"|1.00|"fruit yields"|196.00||
"09407"|"1"|1.00|"cup"|249.00||
"09407"|"2"|1.00|"fl oz"|31.10||
"09408"|"1"|1.00|"cup"|250.00||
"09408"|"2"|1.00|"fl oz"|31.20||
"09409"|"1"|1.00|"cup"|250.00||
"09409"|"2"|1.00|"fl oz"|31.30||
"09410"|"1"|1.00|"can (6 fl oz)"|211.00||
"09411"|"1"|1.00|"cup"|239.00||
"09411"|"2"|1.00|"fl oz"|29.90||
"09420"|"1"|1.00|"cup, drained"|178.00||
"09421"|"1"|1.00|"date, pitted"|24.00|10|1.89
"09422"|"1"|1.00|"cup, chopped or diced"|243.00||
"09422"|"2"|1.00|"fruit"|602.00||
"09423"|"1"|2.00|"tbsp"|36.00||
"09427"|"1"|0.50|"cup"|114.00||
"09428"|"1"|0.50|"cup"|114.00||
"09429"|"1"|1.00|"cup, chunks"|165.00|34|19.14
"09429"|"2"|1.00|"slice (4-2/3"" dia x 3/4"" thick)"|175.00|5|41.87
"09429"|"3"|1.00|"fruit"|1002.00|5|47.92
"09429"|"4"|1.00|"NLEA serving"|112.00||
"09430"|"1"|1.00|"cup, chunks"|165.00|34|19.14
"09430"|"2"|1.00|"slice (4-2/3"" dia x 3/4"" thick)"|166.00|11|45.49
"09430"|"3"|1.00|"fruit"|905.00|26|165.33
"09430"|"4"|1.00|"NLEA serving"|112.00||
"09433"|"1"|1.00|"fruit"|74.00|32|14.29
"09434"|"1"|1.00|"cup"|251.00||
"09435"|"1"|1.00|"cup"|251.00||
"09436"|"1"|1.00|"cup"|251.00||
"09437"|"1"|1.00|"cup"|251.00||
"09442"|"1"|1.00|"cup"|249.00|3|5.19
"09442"|"2"|1.00|"fl oz"|31.40|3|0.35
"09443"|"1"|8.00|"fl oz"|250.00||
"09444"|"1"|8.00|"fl oz"|250.00||
"09445"|"1"|1.00|"cup, sliced"|186.00|3|28.76
"09445"|"2"|1.00|"fruit"|86.00|80|0.30
"09446"|"1"|1.00|"cup"|118.00|3|7.63
"09446"|"2"|10.00|"slices (1/4"" thick)"|53.00|2|
"09447"|"1"|1.00|"cup"|169.00||
"11001"|"1"|1.00|"cup"|33.00||
"11001"|"2"|1.00|"tbsp"|3.00||
"11003"|"1"|1.00|"cup"|28.00||
"11003"|"2"|1.00|"leaf"|14.00||
"11004"|"1"|1.00|"cup"|132.00||
"11005"|"1"|1.00|"large"|25.00||
"11005"|"2"|1.00|"medium"|12.00||
"11006"|"1"|1.00|"medium"|12.00||
"11007"|"1"|1.00|"artichoke, medium"|128.00||
"11007"|"2"|1.00|"artichoke, large"|162.00||
"11008"|"1"|1.00|"artichoke, medium"|120.00||
"11008"|"2"|0.50|"cup hearts"|84.00||
"11009"|"1"|1.00|"package (9 oz)"|255.00||
"11010"|"1"|1.00|"cup"|168.00||
"11010"|"2"|1.00|"package (9 oz), yields"|240.00||
"11010"|"3"|0.33|"package (9 oz) yields"|80.00||
"11011"|"1"|1.00|"cup"|134.00||
"11011"|"2"|1.00|"spear, small (5"" long or less)"|12.00||
"11011"|"3"|1.00|"spear, medium (5-1/4"" to 7"" long)"|16.00||
"11011"|"4"|1.00|"spear, large (7-1/4"" to 8-1/2"")"|20.00||
"11011"|"5"|1.00|"spear, extra large (8-3/4"" to 10"" long)"|24.00||
"11011"|"6"|1.00|"spear tip (2"" long or less)"|3.50||
"11012"|"1"|0.50|"cup"|90.00||
"11012"|"2"|4.00|"spears (1/2"" base)"|60.00||
"11013"|"1"|0.50|"cup"|122.00||
"11013"|"2"|1.00|"can (300 x 407)"|411.00||
"11015"|"1"|1.00|"cup"|242.00||
"11015"|"2"|1.00|"spear (about 5"" long)"|18.00||
"11015"|"3"|1.00|"can (300 x 407)"|248.00||
"11018"|"1"|1.00|"package (10 oz)"|284.00||
"11018"|"2"|4.00|"spears"|58.00||
"11019"|"1"|1.00|"cup"|180.00||
"11019"|"2"|1.00|"package (10 oz) yields"|293.00||
"11019"|"3"|4.00|"spears"|60.00||
"11022"|"1"|1.00|"leaf"|4.00||
"11022"|"2"|0.50|"cup"|24.00||
"11023"|"1"|1.00|"cup"|58.00||
"11024"|"1"|1.00|"cup (1/2"" pieces)"|93.00||
"11024"|"2"|1.00|"balsam-pear"|124.00||
"11025"|"1"|1.00|"cup (1/2"" pieces)"|124.00||
"11025"|"2"|0.50|"cup (1/2"" pieces)"|62.00||
"11026"|"1"|1.00|"cup (1/2"" slices)"|151.00||
"11026"|"2"|0.50|"cup (1/2"" pieces)"|76.00||
"11027"|"1"|1.00|"cup (1/2"" slices)"|120.00||
"11027"|"2"|1.00|"shoot"|144.00||
"11028"|"1"|1.00|"cup (1/8"" slices)"|131.00||
"11028"|"2"|1.00|"can (303 x 406)"|262.00||
"11029"|"1"|1.00|"cup"|184.00||
"11031"|"1"|1.00|"cup"|156.00||
"11032"|"1"|1.00|"cup"|170.00||
"11033"|"1"|0.50|"cup"|124.00||
"11033"|"2"|1.00|"can (303 x 406)"|454.00||
"11037"|"1"|0.50|"cup"|80.00||
"11037"|"2"|1.00|"package (10 oz)"|284.00||
"11038"|"1"|1.00|"package (10 oz) yields"|311.00||
"11038"|"2"|0.50|"cup"|85.00||
"11039"|"1"|0.50|"cup"|82.00||
"11039"|"2"|1.00|"package (10 oz)"|284.00||
"11040"|"1"|1.00|"package (10 oz) yields"|311.00||
"11040"|"2"|0.50|"cup"|90.00||
"11043"|"1"|1.00|"cup"|104.00||
"11043"|"2"|1.00|"package (12 oz)"|340.00||
"11044"|"1"|1.00|"cup"|124.00||
"11045"|"1"|1.00|"cup"|124.00||
"11046"|"1"|1.00|"cup"|104.00||
"11048"|"1"|1.00|"package (10 oz)"|284.00||
"11048"|"2"|0.33|"package (10 oz)"|94.00||
"11049"|"1"|1.00|"package (10 oz) yields"|284.00||
"11049"|"2"|0.33|"package (10 oz) yields"|94.00||
"11050"|"1"|1.00|"cup"|245.00||
"11052"|"1"|1.00|"cup 1/2"" pieces"|100.00|11|6.22
"11052"|"2"|10.00|"beans (4"" long)"|55.00||
"11053"|"1"|1.00|"cup"|125.00||
"11054"|"1"|0.50|"cup"|120.00||
"11054"|"2"|1.00|"can (303 x 406)"|439.00||
"11056"|"1"|1.00|"cup solids"|153.00|4|28.09
"11056"|"2"|10.00|"beans"|62.00|1|
"11056"|"3"|1.00|"can (303 x 406)"|262.00||
"11058"|"1"|0.50|"cup"|114.00||
"11058"|"2"|1.00|"can (303 x 406)"|439.00||
"11060"|"1"|1.00|"cup"|121.00|10|2.52
"11060"|"2"|1.00|"package (10 oz)"|284.00||
"11061"|"1"|1.00|"cup"|135.00||
"11062"|"1"|1.00|"cup"|111.00|9|3.21
"11063"|"1"|1.00|"cup 1/2"" pieces"|116.00|11|7.02
"11080"|"1"|1.00|"cup"|136.00||
"11080"|"2"|1.00|"beet (2"" dia)"|82.00||
"11081"|"1"|0.50|"cup slices"|85.00||
"11081"|"2"|2.00|"beets (2"" dia, sphere)"|100.00||
"11082"|"1"|1.00|"cup"|246.00||
"11084"|"1"|1.00|"cup, diced"|157.00||
"11084"|"2"|1.00|"cup, shredded"|195.00||
"11084"|"3"|1.00|"cup slices"|170.00||
"11084"|"4"|1.00|"cup, whole"|163.00||
"11084"|"5"|1.00|"slice"|8.00||
"11084"|"6"|1.00|"beet"|24.00||
"11084"|"7"|1.00|"can (303 x 406)"|294.00||
"11086"|"1"|1.00|"cup"|38.00||
"11086"|"2"|1.00|"leaf"|32.00||
"11086"|"3"|0.50|"cup (1"" pieces)"|19.00||
"11087"|"1"|1.00|"cup (1"" pieces)"|144.00||
"11087"|"2"|0.50|"cup (1"" pieces)"|72.00||
"11088"|"1"|1.00|"cup"|109.00||
"11088"|"2"|1.00|"broadbean"|8.00||
"11090"|"1"|1.00|"cup chopped"|91.00|9|6.16
"11090"|"2"|1.00|"bunch"|608.00||
"11090"|"3"|1.00|"spear (about 5"" long)"|31.00||
"11090"|"4"|1.00|"stalk"|151.00||
"11090"|"5"|0.50|"cup, chopped or diced"|44.00||
"11090"|"6"|1.00|"NLEA serving"|148.00||
"11091"|"1"|1.00|"stalk, large (11""-12"" long)"|280.00||
"11091"|"2"|1.00|"stalk, medium (7-1/2"" - 8"" long)"|180.00||
"11091"|"3"|1.00|"stalk, small (5"" long)"|140.00||
"11091"|"4"|1.00|"spear (about 5"" long)"|37.00||
"11091"|"5"|0.50|"cup, chopped"|78.00||
"11092"|"1"|1.00|"cup"|156.00||
"11092"|"2"|1.00|"package (10 oz)"|284.00||
"11093"|"1"|1.00|"cup"|184.00||
"11094"|"1"|1.00|"package (10 oz)"|284.00||
"11094"|"2"|1.00|"package (2 lb)"|907.00||
"11095"|"1"|1.00|"package (10 oz) yields"|250.00||
"11095"|"2"|0.50|"cup"|92.00||
"11096"|"1"|1.00|"cup chopped"|40.00|1|
"11096"|"2"|1.00|"stalk"|19.00|4|4.14
"11097"|"1"|1.00|"bunch cooked"|437.00|3|30.62
"11097"|"2"|1.00|"NLEA serving"|85.00||
"11098"|"1"|1.00|"cup"|88.00||
"11098"|"2"|1.00|"sprout"|19.00||
"11099"|"1"|1.00|"sprout"|21.00||
"11099"|"2"|0.50|"cup"|78.00||
"11100"|"1"|1.00|"package (10 oz)"|284.00||
"11100"|"2"|1.00|"package (2 lb)"|907.00||
"11101"|"1"|1.00|"cup"|155.00||
"11104"|"1"|1.00|"cup (1"" pieces)"|118.00||
"11104"|"2"|1.00|"root"|156.00||
"11105"|"1"|1.00|"cup (1"" pieces)"|125.00||
"11105"|"2"|1.00|"root"|166.00||
"11106"|"1"|1.00|"cup"|94.00||
"11106"|"2"|1.00|"petiole"|5.00||
"11108"|"1"|1.00|"cup, chopped"|124.00||
"11108"|"2"|3.00|"stalks"|45.00||
"11109"|"1"|1.00|"cup, chopped"|89.00||
"11109"|"2"|1.00|"cup, shredded"|70.00||
"11109"|"3"|1.00|"head, large (about 7"" dia)"|1248.00||
"11109"|"4"|1.00|"leaf, large"|33.00||
"11109"|"5"|1.00|"head, medium (about 5-3/4"" dia)"|908.00||
"11109"|"6"|1.00|"leaf, medium"|23.00||
"11109"|"7"|1.00|"head, small (about 4-1/2"" dia)"|714.00||
"11109"|"8"|1.00|"leaf"|15.00||
"11110"|"1"|1.00|"head"|1262.00||
"11110"|"2"|0.50|"cup, shredded"|75.00||
"11112"|"1"|1.00|"cup, chopped"|89.00||
"11112"|"2"|1.00|"cup, shredded"|70.00||
"11112"|"3"|1.00|"head, large (about 5-1/2"" dia)"|1134.00||
"11112"|"4"|1.00|"leaf"|23.00||
"11112"|"5"|1.00|"head, medium (about 5"" dia)"|839.00||
"11112"|"6"|1.00|"head, small (4"" dia)"|567.00||
"11113"|"1"|1.00|"leaf"|22.00||
"11113"|"2"|0.50|"cup, shredded"|75.00||
"11114"|"1"|1.00|"cup, shredded"|70.00||
"11115"|"1"|1.00|"cup, shredded"|145.00||
"11116"|"1"|1.00|"cup, shredded"|70.00||
"11116"|"2"|1.00|"head"|840.00||
"11116"|"3"|1.00|"leaf"|14.00||
"11117"|"1"|1.00|"cup, shredded"|170.00||
"11119"|"1"|1.00|"cup, shredded"|76.00||
"11120"|"1"|1.00|"cup, shredded"|119.00||
"11120"|"2"|1.00|"leaf"|14.00||
"11122"|"1"|1.00|"cup, shredded"|178.00||
"11124"|"1"|1.00|"cup chopped"|128.00||
"11124"|"2"|1.00|"cup grated"|110.00||
"11124"|"3"|1.00|"cup strips or slices"|122.00||
"11124"|"4"|1.00|"large (7-1/4"" to 8-/1/2"" long)"|72.00||
"11124"|"5"|1.00|"medium"|61.00||
"11124"|"6"|1.00|"small (5-1/2"" long)"|50.00||
"11124"|"7"|1.00|"slice"|3.00||
"11124"|"8"|1.00|"strip large (3"" long)"|7.00||
"11124"|"9"|1.00|"strip medium"|4.00||
"11125"|"1"|1.00|"tbsp"|9.70||
"11125"|"2"|0.50|"cup slices"|78.00||
"11125"|"3"|1.00|"carrot"|46.00||
"11126"|"1"|0.50|"cup slices"|123.00||
"11126"|"2"|1.00|"can (303 x 406)"|454.00||
"11128"|"1"|1.00|"cup, mashed"|228.00||
"11128"|"2"|1.00|"cup, sliced"|146.00||
"11128"|"3"|1.00|"slice"|2.80||
"11128"|"4"|1.00|"can (303 x 406)"|284.00||
"11130"|"1"|1.00|"package (10 oz)"|284.00||
"11130"|"2"|0.50|"cup slices"|64.00||
"11131"|"1"|1.00|"cup, sliced"|146.00||
"11134"|"1"|1.00|"cup"|206.00||
"11134"|"2"|1.00|"root"|408.00||
"11135"|"1"|1.00|"cup chopped (1/2"" pieces)"|107.00|6|4.99
"11135"|"2"|1.00|"floweret"|13.00|1|
"11135"|"3"|1.00|"head large (6-7"" dia.)"|840.00||
"11135"|"4"|1.00|"head medium (5-6"" dia.)"|588.00|6|282.19
"11135"|"5"|1.00|"head small (4"" dia.)"|265.00||
"11136"|"1"|0.50|"cup (1"" pieces)"|62.00||
"11136"|"2"|3.00|"flowerets"|54.00||
"11137"|"1"|1.00|"package (10 oz)"|284.00||
"11137"|"2"|0.50|"cup (1"" pieces)"|66.00||
"11138"|"1"|1.00|"cup (1"" pieces)"|180.00||
"11141"|"1"|1.00|"cup"|156.00||
"11142"|"1"|1.00|"cup pieces"|155.00||
"11143"|"1"|1.00|"cup chopped"|101.00|12|6.58
"11143"|"2"|1.00|"NLEA serving"|110.00||
"11143"|"3"|1.00|"tbsp"|7.50||
"11143"|"4"|1.00|"stalk, large (11""-12"" long)"|64.00||
"11143"|"5"|1.00|"stalk, medium (7-1/2"" - 8"" long)"|40.00||
"11143"|"6"|1.00|"stalk, small (5"" long)"|17.00||
"11143"|"7"|1.00|"strip (4"" long)"|4.00||
"11144"|"1"|1.00|"cup, diced"|150.00||
"11144"|"2"|2.00|"stalks"|75.00||
"11145"|"1"|1.00|"leaf"|8.00||
"11147"|"1"|1.00|"cup"|36.00||
"11147"|"2"|1.00|"leaf"|48.00||
"11148"|"1"|1.00|"cup, chopped"|175.00||
"11149"|"1"|1.00|"cup (1"" pieces)"|132.00||
"11149"|"2"|1.00|"chayote (5-3/4"")"|203.00||
"11150"|"1"|1.00|"cup (1"" pieces)"|160.00||
"11151"|"1"|1.00|"head"|53.00||
"11151"|"2"|0.50|"cup"|45.00||
"11152"|"1"|1.00|"cup, chopped"|29.00||
"11154"|"1"|1.00|"root"|60.00||
"11154"|"2"|0.50|"cup (1"" pieces)"|45.00||
"11156"|"1"|1.00|"tbsp chopped"|3.00||
"11156"|"2"|1.00|"tsp chopped"|1.00||
"11157"|"1"|1.00|"cup (1"" pieces)"|25.00||
"11157"|"2"|1.00|"stem (8-3/4"" long)"|14.00||
"11158"|"1"|1.00|"cup (1"" pieces)"|100.00||
"11159"|"1"|1.00|"tbsp"|8.00||
"11159"|"2"|0.50|"cup"|60.00||
"11161"|"1"|1.00|"cup, chopped"|36.00||
"11162"|"1"|1.00|"cup, chopped"|190.00||
"11163"|"1"|1.00|"package (10 oz)"|284.00||
"11163"|"2"|1.00|"package (3 lb)"|1361.00||
"11164"|"1"|1.00|"cup, chopped"|170.00||
"11165"|"1"|0.25|"cup"|4.00||
"11165"|"2"|9.00|"sprigs"|20.00||
"11167"|"1"|1.00|"cup"|145.00|5|11.27
"11167"|"2"|1.00|"ear, large (7-3/4"" to 9"" long) yields"|143.00||
"11167"|"3"|1.00|"ear, medium (6-3/4"" to 7-1/2"" long) yields"|102.00|3|36.51
"11167"|"4"|1.00|"ear, small (5-1/2"" to 6-1/2"" long)"|73.00||
"11168"|"1"|1.00|"ear small (5-1/2"" to 6-1/2"" long)"|89.00||
"11168"|"2"|1.00|"ear medium (6-3/4"" to 7-1/2"" long)"|103.00||
"11168"|"3"|1.00|"ear large (7-3/4"" to 9"" long)"|118.00||
"11168"|"4"|1.00|"cup cut"|149.00|6|5.99
"11168"|"5"|1.00|"baby ear"|8.00||
"11168"|"6"|1.00|"ear, yields"|77.00||
"11170"|"1"|0.50|"cup"|128.00||
"11170"|"2"|1.00|"can (303 x 406)"|482.00||
"11172"|"1"|1.00|"cup"|164.00|1|
"11172"|"2"|1.00|"can (12 oz) yields"|211.00||
"11172"|"3"|1.00|"can (303 x 406)"|298.00||
"11174"|"1"|1.00|"cup"|256.00||
"11174"|"2"|1.00|"can (303 x 406)"|482.00||
"11176"|"1"|0.50|"cup"|105.00||
"11176"|"2"|1.00|"can, 15 oz (303 x 406)"|425.00||
"11176"|"3"|1.00|"can (303 x 406)"|340.00||
"11178"|"1"|1.00|"cup"|136.00|9|4.17
"11178"|"2"|1.00|"package"|284.00|1|
"11179"|"1"|1.00|"package (10 oz) yields"|284.00||
"11179"|"2"|0.50|"cup"|82.00||
"11180"|"1"|1.00|"ear, yields"|125.00||
"11180"|"2"|0.50|"cup kernels"|82.00||
"11181"|"1"|1.00|"ear, yields"|63.00||
"11181"|"2"|0.50|"cup kernels"|82.00||
"11182"|"1"|1.00|"cup"|141.00|9|5.83
"11184"|"1"|1.00|"cup"|227.00||
"11190"|"1"|1.00|"cup"|56.00||
"11191"|"1"|1.00|"cup"|145.00||
"11192"|"1"|1.00|"cup"|165.00||
"11195"|"1"|1.00|"cup"|160.00||
"11195"|"2"|1.00|"package (10 oz)"|284.00||
"11196"|"1"|1.00|"cup"|170.00||
"11197"|"1"|1.00|"cup"|94.00||
"11197"|"2"|1.00|"pod"|12.00||
"11198"|"1"|1.00|"cup"|95.00||
"11199"|"1"|1.00|"cup slices"|91.00||
"11199"|"2"|1.00|"pod"|12.00||
"11200"|"1"|1.00|"cup slices"|104.00||
"11200"|"2"|1.00|"pod"|14.00||
"11201"|"1"|1.00|"cup, chopped"|36.00||
"11201"|"2"|1.00|"leaf"|3.00||
"11202"|"1"|1.00|"cup, chopped"|53.00||
"11203"|"1"|1.00|"cup"|50.00||
"11203"|"2"|1.00|"sprig"|1.00||
"11204"|"1"|1.00|"cup"|135.00||
"11204"|"2"|0.50|"cup"|68.00||
"11205"|"1"|0.50|"cup slices"|52.00||
"11205"|"2"|1.00|"cucumber (8-1/4"")"|301.00||
"11206"|"1"|1.00|"cup, pared, chopped"|133.00||
"11206"|"2"|1.00|"cup, sliced"|119.00||
"11206"|"3"|1.00|"large (8-1/4"" long)"|280.00||
"11206"|"4"|1.00|"medium"|201.00||
"11206"|"5"|1.00|"slice"|7.00||
"11206"|"6"|1.00|"small (6-3/8"" long)"|158.00||
"11206"|"7"|1.00|"stick (4"" long)"|9.00||
"11207"|"1"|1.00|"cup, chopped"|55.00||
"11208"|"1"|1.00|"cup, chopped"|105.00||
"11209"|"1"|1.00|"cup, cubes"|82.00||
"11209"|"2"|1.00|"eggplant, peeled (yield from 1-1/4 lb)"|458.00||
"11209"|"3"|1.00|"eggplant, unpeeled (approx 1-1/4 lb)"|548.00||
"11210"|"1"|1.00|"cup (1"" cubes)"|99.00||
"11211"|"1"|1.00|"cup"|118.00|4|24.23
"11211"|"2"|1.00|"package"|432.00|4|55.56
"11212"|"1"|1.00|"cup"|155.00|2|
"11213"|"1"|1.00|"head"|513.00||
"11213"|"2"|0.50|"cup, chopped"|25.00||
"11215"|"1"|1.00|"cup"|136.00||
"11215"|"2"|1.00|"tsp"|2.80||
"11215"|"3"|1.00|"clove"|3.00||
"11215"|"4"|3.00|"cloves"|9.00||
"11216"|"1"|1.00|"tsp"|2.00||
"11216"|"2"|0.25|"cup slices (1"" dia)"|24.00||
"11216"|"3"|5.00|"slices (1"" dia)"|11.00||
"11218"|"1"|0.50|"cup (1"" pieces)"|58.00||
"11218"|"2"|1.00|"gourd"|771.00||
"11219"|"1"|1.00|"cup (1"" cubes)"|146.00||
"11220"|"1"|1.00|"cup (1"" pieces)"|95.00||
"11220"|"2"|1.00|"gourd"|178.00||
"11221"|"1"|1.00|"cup (1"" pieces)"|178.00||
"11221"|"2"|0.50|"cup (1"" slices)"|89.00||
"11222"|"1"|1.00|"cup, chopped"|21.00||
"11223"|"1"|1.00|"cup, chopped"|42.00||
"11224"|"1"|1.00|"cup"|80.00||
"11225"|"1"|1.00|"cup"|87.00||
"11226"|"1"|1.00|"cup slices"|150.00||
"11228"|"1"|1.00|"cup slices"|99.00||
"11228"|"2"|1.00|"piece"|6.00||
"11230"|"1"|1.00|"cup"|24.00||
"11231"|"1"|1.00|"cup"|28.00||
"11232"|"1"|1.00|"cup"|87.00||
"11233"|"1"|1.00|"cup, chopped"|67.00||
"11234"|"1"|1.00|"cup, chopped"|130.00||
"11235"|"1"|1.00|"package (10 oz)"|284.00||
"11235"|"2"|0.33|"package (10 oz)"|94.00||
"11236"|"1"|1.00|"cup, chopped"|130.00||
"11236"|"2"|0.50|"cup, chopped or diced"|65.00||
"11237"|"1"|1.00|"strip"|6.30||
"11237"|"2"|0.50|"cup"|27.00||
"11238"|"1"|1.00|"piece whole"|19.00|4|7.29
"11239"|"1"|1.00|"cup"|54.00|2|
"11239"|"2"|1.00|"piece"|5.40|6|0.60
"11240"|"1"|1.00|"cup"|66.00|4|4.80
"11240"|"2"|1.00|"piece"|12.90|12|1.80
"11241"|"1"|1.00|"cup"|135.00||
"11241"|"2"|1.00|"slice"|16.00||
"11242"|"1"|1.00|"cup, sliced"|165.00||
"11243"|"1"|1.00|"cup sliced"|121.00|3|8.69
"11245"|"1"|1.00|"cup, chopped"|180.00||
"11246"|"1"|1.00|"cup"|89.00||
"11246"|"2"|1.00|"leek"|89.00||
"11246"|"3"|1.00|"slice"|6.00||
